author,book_count
John Carreyrou,1
Jared Diamond,1
Elie Wiesel,1
Marion Wiesel,1
François Mauriac,1
Tina Fey,1
Michelle Obama,1
Tara Westover,1
Arthur Golden,1
V.E. Schwab,1
Victoria Schwab,1
Michelle McNamara,1
Patton Oswalt,1
Mario Puzo,1
Robert Thompson,1
Peter Bart,1
Frank Herbert,1
